"Year","State","Population","Property.crime.total","Burglary","Larceny.theft","Motor.vehicle.theft"
1960,"Alabama",3266740,33823,11626,19344,2853
1961,"Alabama",3302000,32541,11205,18801,2535
1962,"Alabama",3358000,35829,11722,21306,2801
1963,"Alabama",3347000,38521,12614,22874,3033
1964,"Alabama",3407000,46290,15898,26713,3679
1965,"Alabama",3462000,48215,16398,28115,3702
1966,"Alabama",3517000,53740,18551,30583,4606
1967,"Alabama",3540000,57079,20227,31682,5170
1968,"Alabama",3566000,62997,22403,34508,6086
1969,"Alabama",3531000,66248,23559,36644,6045
1970,"Alabama",3444165,75214,26739,40779,7696
1971,"Alabama",3479000,76084,27547,40841,7696
1972,"Alabama",3510000,73053,27714,38493,6846
1973,"Alabama",3539000,78999,31754,39206,8039
1974,"Alabama",3577000,93976,37841,46813,9322
1975,"Alabama",3614000,111296,42059,59470,9767
1976,"Alabama",3665000,125325,42879,72832,9614
1977,"Alabama",3690000,121702,41901,69442,10359
1978,"Alabama",3742000,131707,46001,74387,11319
1979,"Alabama",3769000,144372,48517,83791,12064
1980,"Alabama",3861466,173191,58952,102029,12210
1981,"Alabama",3916000,173411,56811,105471,11129
1982,"Alabama",3943000,165048,49531,104740,10777
1983,"Alabama",3959000,145890,42485,94279,9126
1984,"Alabama",3990000,138487,39970,89198,9319
1985,"Alabama",4021000,140115,41612,88108,10395
1986,"Alabama",4053000,151191,46974,93396,10821
1987,"Alabama",4083000,158918,48927,99260,10731
1988,"Alabama",4127000,165209,50920,103282,11007
1989,"Alabama",4118000,166244,47224,106771,12249
1990,"Alabama",4040587,169974,44585,111336,14053
1991,"Alabama",4089000,184882,51873,118151,14858
1992,"Alabama",4136000,181837,49053,117801,14983
1993,"Alabama",4187000,171598,45578,111878,14142
1994,"Alabama",4219000,178015,44064,119951,14000
1995,"Alabama",4253000,179294,43586,120967,14741
1996,"Alabama",4273000,181803,42821,123350,15632
1997,"Alabama",4319000,186809,43786,127616,15407
1998,"Alabama",4352000,177779,41965,120943,14871
1999,"Alabama",4369862,171398,38648,119616,13134
2000,"Alabama",4447100,180539,40331,127399,12809
2001,"Alabama",4468912,173253,40642,119992,12619
2002,"Alabama",4478896,180400,42578,123932,13890
2003,"Alabama",4503726,182241,43245,124039,14957
2004,"Alabama",4525375,182340,44666,123650,14024
2005,"Alabama",4548327,177393,43473,120780,13140
2006,"Alabama",4599030,181249,44780,121451,15018
2007,"Alabama",4627851,184082,45379,124465,14238
2008,"Alabama",4661900,190416,50411,126539,13466
2009,"Alabama",4708708,178007,48844,118072,11091
2010,"Alabama",4785401,168828,42484,115564,10780
2011,"Alabama",4803689,173192,51119,111411,10662
2012,"Alabama",4822023,168878,47481,111523,9874
1960,"Alaska",226167,3494,751,2195,548
1961,"Alaska",234000,3605,891,2223,491
1962,"Alaska",246000,3849,865,2424,560
1963,"Alaska",248000,4843,946,3010,887
1964,"Alaska",250000,5040,1109,3046,885
1965,"Alaska",253000,6210,1403,3777,1030
1966,"Alaska",272000,7168,1613,4354,1201
1967,"Alaska",272000,7409,1873,4436,1100
1968,"Alaska",277000,8713,2070,5307,1336
1969,"Alaska",282000,10318,2455,6195,1668
1970,"Alaska",302173,10648,2387,6595,1666
1971,"Alaska",313000,11923,2656,7631,1636
1972,"Alaska",325000,13351,3155,8577,1619
1973,"Alaska",330000,15044,3852,9456,1736
1974,"Alaska",337000,16131,3932,10016,2183
1975,"Alaska",352000,19912,4275,12399,3238
1976,"Alaska",382000,21700,4653,13969,3078
1977,"Alaska",407000,22201,5420,13715,3066
1978,"Alaska",403000,22585,5397,14522,2666
1979,"Alaska",406000,23193,5616,15076,2501
1980,"Alaska",440142,22930,5545,14916,2469
1981,"Alaska",412000,24634,5479,16310,2845
1982,"Alaska",438000,24479,5204,16672,2603
1983,"Alaska",479000,25889,5720,17085,3084
1984,"Alaska",500000,27468,6184,18140,3144
1985,"Alaska",521000,27588,6209,18220,3159
1986,"Alaska",534000,30307,6204,20879,3224
1987,"Alaska",525000,25841,5093,18195,2553
1988,"Alaska",513000,22566,4321,15911,2334
1989,"Alaska",527000,22567,4358,15811,2398
1990,"Alaska",550043,25457,4919,17428,3110
1991,"Alaska",570000,29000,5582,20375,3043
1992,"Alaska",587000,28816,5170,20728,2918
1993,"Alaska",599000,28795,4893,21201,2701
1994,"Alaska",606000,29947,4848,21824,3275
1995,"Alaska",604000,30097,5055,21891,3151
1996,"Alaska",607000,28667,5118,20557,2992
1997,"Alaska",609000,27840,4276,20780,2784
1998,"Alaska",614000,25316,4098,18611,2607
1999,"Alaska",619500,23099,3787,16654,2658
2000,"Alaska",626932,23087,3899,16838,2350
2001,"Alaska",633630,23160,3847,16695,2618
2002,"Alaska",641482,24118,3908,17739,2471
2003,"Alaska",648280,24386,3874,18051,2461
2004,"Alaska",657755,22172,3773,16159,2240
2005,"Alaska",663253,23975,4131,17249,2595
2006,"Alaska",670053,23975,4155,17284,2536
2007,"Alaska",683478,23096,3734,16929,2433
2008,"Alaska",686293,20090,3237,15225,1628
2009,"Alaska",698473,20538,3600,15251,1687
2010,"Alaska",714146,20259,3105,15535,1619
2011,"Alaska",723860,19094,2852,14854,1388
2012,"Alaska",731449,20037,2950,15565,1522
1960,"Arizona",1302161,36539,8926,23207,4406
1961,"Arizona",1391000,41304,10262,26099,4943
1962,"Arizona",1509000,45694,11693,28605,5396
1963,"Arizona",1559000,49894,12944,31213,5737
1964,"Arizona",1581000,54264,13726,35190,5348
1965,"Arizona",1608000,53957,13129,36208,4620
1966,"Arizona",1618000,63645,15066,42555,6024
1967,"Arizona",1634000,75160,18583,49923,6654
1968,"Arizona",1670000,77001,19496,50471,7034
1969,"Arizona",1693000,82710,22053,53231,7426
1970,"Arizona",1772482,98265,26464,62918,8883
1971,"Arizona",1849000,102451,26549,67566,8336
1972,"Arizona",1945000,106671,31429,66883,8359
1973,"Arizona",2058000,128089,40301,76560,11228
1974,"Arizona",2153000,164811,54557,97286,12968
1975,"Arizona",2224000,173331,56265,105588,11478
1976,"Arizona",2270000,168686,53722,105389,9575
1977,"Arizona",2296000,166528,53866,102571,10091
1978,"Arizona",2354000,165998,49023,106042,10933
1979,"Arizona",2450000,177977,48916,116976,12085
1980,"Arizona",2715357,204193,58527,132814,12852
1981,"Arizona",2793000,196575,57655,127469,11451
1982,"Arizona",2860000,189161,53861,124723,10577
1983,"Arizona",2963000,174740,49440,114721,10579
1984,"Arizona",3053000,182670,52327,118604,11739
1985,"Arizona",3187000,207591,59585,135720,12286
1986,"Arizona",3317000,221015,63278,143845,13892
1987,"Arizona",3386000,222663,55059,153296,14308
1988,"Arizona",3466000,237808,54773,167121,15914
1989,"Arizona",3556000,265284,59284,181574,24426
1990,"Arizona",3665228,265229,61206,172375,31648
1991,"Arizona",3750000,252559,60281,159987,32291
1992,"Arizona",3832000,243629,54095,158053,31481
1993,"Arizona",3936000,264371,57684,172689,33998
1994,"Arizona",4075000,294273,60157,190649,43467
1995,"Arizona",4218000,316355,59762,207763,48830
1996,"Arizona",4428000,284964,55630,188300,41034
1997,"Arizona",4555000,299323,60077,195045,44201
1998,"Arizona",4669000,280001,56473,183137,40391
1999,"Arizona",4778332,255401,49423,167731,38247
2000,"Arizona",5130632,271811,51902,176705,43204
2001,"Arizona",5306966,293874,54821,186850,52203
2002,"Arizona",5441125,318296,59087,201541,57668
2003,"Arizona",5579222,314335,58613,198725,56997
2004,"Arizona",5739879,291203,56885,179012,55306
2005,"Arizona",5953007,287345,56328,176112,54905
2006,"Arizona",6166318,294389,59418,178321,56650
2007,"Arizona",6338755,287308,59988,177076,50244
2008,"Arizona",6500180,266653,58606,169460,38587
2009,"Arizona",6595778,236721,54308,155976,26437
2010,"Arizona",6413158,226802,50932,154137,21733
2011,"Arizona",6467315,229896,54695,155400,19801
2012,"Arizona",6553255,231930,52934,159838,19158
1960,"Arkansas",1786272,16548,5399,10250,899
1961,"Arkansas",1797000,16836,5536,10211,1089
1962,"Arkansas",1823000,18199,5683,11169,1347
1963,"Arkansas",1858000,19949,6087,12315,1547
1964,"Arkansas",1933000,23633,7135,14622,1876
1965,"Arkansas",1960000,22313,6344,14254,1715
1966,"Arkansas",1955000,23850,7044,15140,1666
1967,"Arkansas",1968000,27728,8735,17301,1692
1968,"Arkansas",2012000,35046,11463,21506,2077
1969,"Arkansas",1995000,39271,12989,24069,2213
1970,"Arkansas",1923295,42290,14606,25388,2296
1971,"Arkansas",1944000,40581,14014,24173,2394
1972,"Arkansas",1978000,41690,14541,24891,2258
1973,"Arkansas",2037000,50244,18088,29204,2952
1974,"Arkansas",2062000,61539,22170,35989,3380
1975,"Arkansas",2116000,67540,22791,41199,3550
1976,"Arkansas",2109000,65437,19771,42474,3192
1977,"Arkansas",2144000,64709,20852,39924,3933
1978,"Arkansas",2186000,68151,21140,42647,4364
1979,"Arkansas",2180000,70949,21457,45267,4225
1980,"Arkansas",2284037,79390,25559,49558,4273
1981,"Arkansas",2294000,79972,24732,50959,4281
1982,"Arkansas",2291000,81259,24547,52450,4262
1983,"Arkansas",2328000,74563,22380,48140,4043
1984,"Arkansas",2349000,71554,20810,46807,3937
1985,"Arkansas",2359000,76372,22207,49957,4208
1986,"Arkansas",2372000,83729,24429,54677,4623
1987,"Arkansas",2388000,91537,25743,60862,4932
1988,"Arkansas",2422000,91962,26443,60363,5156
1989,"Arkansas",2406000,98213,28738,63084,6391
1990,"Arkansas",2350725,101897,28464,66630,6803
1991,"Arkansas",2372000,108677,29093,71487,8097
1992,"Arkansas",2399000,100402,26214,66288,7900
1993,"Arkansas",2424000,102231,26646,67767,7818
1994,"Arkansas",2453000,103115,26911,68478,7726
1995,"Arkansas",2484000,102780,24763,69935,8082
1996,"Arkansas",2510000,104790,23925,73010,7855
1997,"Arkansas",2523000,105759,25568,72253,7938
1998,"Arkansas",2538000,96271,23559,65525,7187
1999,"Arkansas",2551373,92283,21692,63927,6664
2000,"Arkansas",2673400,98115,21443,69740,6932
2001,"Arkansas",2694698,99106,22196,69590,7320
2002,"Arkansas",2706268,101171,23229,71129,6813
2003,"Arkansas",2727774,99084,25016,68061,6007
2004,"Arkansas",2750000,110911,30151,74242,6518
2005,"Arkansas",2775708,112914,30118,75510,7286
2006,"Arkansas",2810872,112025,31864,72646,7515
2007,"Arkansas",2834797,112130,32035,73096,6999
2008,"Arkansas",2855390,110360,33912,69905,6543
2009,"Arkansas",2889450,109078,34753,68228,6097
2010,"Arkansas",2921588,103820,32463,65796,5561
2011,"Arkansas",2938582,110430,34016,70645,5769
2012,"Arkansas",2949131,107941,31890,70327,5724
1960,"California",15717204,508511,143102,311956,53453
1961,"California",16397000,521008,146615,319834,54559
1962,"California",16970000,564451,158523,348373,57555
1963,"California",17590000,623709,175703,384289,63717
1964,"California",18084000,700630,196883,427960,75787
1965,"California",18602000,750997,225007,444217,81773
1966,"California",18918000,802944,241666,474122,87156
1967,"California",19153000,900757,276958,526477,97322
1968,"California",19221000,1018363,316081,582838,119444
1969,"California",19443000,1096083,325891,638249,131943
1970,"California",19953134,1170113,349788,682811,137514
1971,"California",20223000,1248069,392277,711417,144375
1972,"California",20468000,1201968,398960,663568,139440
1973,"California",20601000,1182309,407824,643488,130997
1974,"California",20907000,1303810,433194,737067,133549
1975,"California",21185000,1387451,469726,784639,133086
1976,"California",21520000,1412716,467980,806086,138650
1977,"California",21896000,1380039,468452,766317,145270
1978,"California",22294000,1420857,488966,777783,154108
1979,"California",22696000,1511021,496310,847148,167563
1980,"California",23532680,1633042,545138,913070,174834
1981,"California",24159000,1625302,540806,921939,162557
1982,"California",24724000,1599827,499466,935831,164530
1983,"California",25174000,1486487,460460,867123,158904
1984,"California",25622000,1461731,443094,857328,161309
1985,"California",26365000,1516710,448506,890967,177237
1986,"California",26981000,1576299,457698,913004,205597
1987,"California",27663000,1545928,419969,896335,229624
1988,"California",28168000,1607180,407631,933636,265913
1989,"California",29063000,1681516,410468,972603,298445
1990,"California",29760021,1654186,400392,951580,302214
1991,"California",30380000,1726391,424656,986120,315615
1992,"California",30867000,1716137,427491,968534,320112
1993,"California",31211000,1678884,414182,945407,319295
1994,"California",31431000,1622102,384257,929640,308205
1995,"California",31589000,1536830,353895,902456,280479
1996,"California",31878000,1385135,312212,830457,242466
1997,"California",32268000,1312367,299240,784405,228722
1998,"California",32667000,1188791,269012,724262,195517
1999,"California",33145121,1053285,223814,660991,168480
2000,"California",33871648,1056183,222293,651855,182035
2001,"California",34600463,1134189,232273,697739,204177
2002,"California",35001986,1176484,238428,715692,222364
2003,"California",35462712,1215086,242274,731486,241326
2004,"California",35842038,1227194,245903,728687,252604
2005,"California",36154147,1200531,250521,692467,257543
2006,"California",36457549,1159988,247230,669103,243655
2007,"California",36553215,1112510,237850,654526,220134
2008,"California",36756666,1080996,237811,650656,192529
2009,"California",36961664,1009433,230198,615402,163833
2010,"California",37338198,981939,228857,600558,152524
2011,"California",37683933,973822,230075,596905,146842
2012,"California",38041430,1049465,245767,635090,168608
1960,"Colorado",1753947,35695,9996,21949,3750
1961,"Colorado",1781000,40156,11681,23551,4924
1962,"Colorado",1907000,47872,12988,28740,6144
1963,"Colorado",1961000,49624,13149,30465,6010
1964,"Colorado",1966000,50528,13367,31829,5332
1965,"Colorado",1969000,50245,12817,32532,4896
1966,"Colorado",1977000,56160,14057,36205,5898
1967,"Colorado",1975000,61565,15590,39885,6090
1968,"Colorado",2048000,73720,18780,46326,8614
1969,"Colorado",2100000,88188,23798,53743,10647
1970,"Colorado",2207259,109512,30481,66043,12988
1971,"Colorado",2283000,117422,33104,71423,12895
1972,"Colorado",2357000,122286,37242,71154,13890
1973,"Colorado",2437000,123845,38963,70931,13951
1974,"Colorado",2496000,143170,46005,83722,13443
1975,"Colorado",2534000,157421,50710,94873,11838
1976,"Colorado",2583000,164419,48558,104443,11418
1977,"Colorado",2619000,165405,50684,102225,12496
1978,"Colorado",2670000,169130,49917,106185,13028
1979,"Colorado",2772000,180984,49741,117898,13345
1980,"Colorado",2878407,195872,58455,124514,12903
1981,"Colorado",2963000,202119,60197,129658,12264
1982,"Colorado",3045000,200230,53260,134873,12097
1983,"Colorado",3139000,193070,48101,133271,11698
1984,"Colorado",3178000,191104,49619,128859,12626
1985,"Colorado",3231000,208336,56480,137868,13988
1986,"Colorado",3267000,212626,58531,138219,15876
1987,"Colorado",3296000,197225,50580,132266,14379
1988,"Colorado",3290000,187719,45503,128331,13885
1989,"Colorado",3317000,184692,41475,128195,15022
1990,"Colorado",3294394,182106,39822,128172,14112
1991,"Colorado",3377000,186235,39117,132717,14401
1992,"Colorado",3470000,186684,37853,131169,17662
1993,"Colorado",3566000,176856,36011,124787,16058
1994,"Colorado",3656000,175808,33843,127600,14365
1995,"Colorado",3747000,185705,35001,136184,14520
1996,"Colorado",3823000,180218,34436,130576,15206
1997,"Colorado",3893000,166902,30994,119801,16107
1998,"Colorado",3971000,163189,31231,115871,16087
1999,"Colorado",4056133,151002,26979,109228,14795
2000,"Colorado",4301261,156937,27133,112843,16961
2001,"Colorado",4430989,170887,28533,121360,20994
2002,"Colorado",4501051,180054,31678,125193,23183
2003,"Colorado",4547633,179706,32394,124496,22816
2004,"Colorado",4601821,180322,33010,123308,24004
2005,"Colorado",4663295,188449,34746,127602,26101
2006,"Colorado",4753377,163439,32411,110372,20656
2007,"Colorado",4861515,145808,28633,100519,16656
2008,"Colorado",4939456,139340,28054,97937,13349
2009,"Colorado",5024748,134196,26637,95079,12480
2010,"Colorado",5047692,135001,26196,97534,11271
2011,"Colorado",5116302,132781,25725,96054,11002
2012,"Colorado",5187582,139270,26157,101021,12092
1960,"Connecticut",2535234,28393,8452,16653,3288
1961,"Connecticut",2614000,31658,9526,18712,3420
1962,"Connecticut",2597000,33798,10259,19741,3798
1963,"Connecticut",2666000,40853,12553,23397,4903
1964,"Connecticut",2766000,48185,14713,27755,5717
1965,"Connecticut",2832000,49978,15959,27862,6157
1966,"Connecticut",2875000,54844,17728,29919,7197
1967,"Connecticut",2925000,63922,21987,32543,9392
1968,"Connecticut",2959000,81702,28538,42034,11130
1969,"Connecticut",3000000,92349,29624,49891,12834
1970,"Connecticut",3032217,100640,32874,53084,14682
1971,"Connecticut",3081000,106370,32884,56875,16611
1972,"Connecticut",3082000,98745,29489,54798,14458
1973,"Connecticut",3076000,106296,31661,58742,15893
1974,"Connecticut",3088000,129042,41808,70252,16982
1975,"Connecticut",3095000,145111,46815,80581,17715
1976,"Connecticut",3117000,147477,43135,86832,17510
1977,"Connecticut",3108000,141719,41833,81450,18436
1978,"Connecticut",3099000,143003,42207,80500,20296
1979,"Connecticut",3115000,167131,48229,96997,21905
1980,"Connecticut",3095224,169283,52638,95631,21014
1981,"Connecticut",3132000,168790,52990,96927,18873
1982,"Connecticut",3153000,158532,44481,96640,17411
1983,"Connecticut",3138000,144437,39988,89421,15028
1984,"Connecticut",3154000,133573,35607,84630,13336
1985,"Connecticut",3174000,136572,36041,86524,14007
1986,"Connecticut",3189000,140411,38190,87963,14258
1987,"Connecticut",3211000,146958,39120,90852,16986
1988,"Connecticut",3241000,150455,39477,91079,19899
1989,"Connecticut",3239000,154119,40035,91483,22601
1990,"Connecticut",3287116,158867,40355,94485,24027
1991,"Connecticut",3291000,158770,39198,93384,26188
1992,"Connecticut",3281000,149535,36372,89463,23700
1993,"Connecticut",3277000,137443,32052,85876,19515
1994,"Connecticut",3275000,134030,29142,84721,20167
1995,"Connecticut",3275000,134188,29095,87401,17692
1996,"Connecticut",3274000,124924,27574,81328,16022
1997,"Connecticut",3270000,117505,24143,78821,14541
1998,"Connecticut",3274000,111978,21801,77472,12705
1999,"Connecticut",3282031,99894,19298,69299,11297
2000,"Connecticut",3405565,99033,17436,68498,13099
2001,"Connecticut",3434602,95299,17159,65762,12378
2002,"Connecticut",3458587,93426,17111,64735,11580
2003,"Connecticut",3486960,92981,16043,65568,11370
2004,"Connecticut",3498966,93942,15959,66770,11213
2005,"Connecticut",3500701,90270,15245,64416,10609
2006,"Connecticut",3504809,90638,15583,64765,10290
2007,"Connecticut",3502309,86528,15640,60937,9951
2008,"Connecticut",3501252,87210,15107,63212,8891
2009,"Connecticut",3518288,82625,15172,59992,7461
2010,"Connecticut",3575498,78259,15145,56413,6701
2011,"Connecticut",3586717,77205,15468,55067,6670
2012,"Connecticut",3590347,76834,14711,55674,6449
1960,"Delaware",446292,9267,2661,5867,739
1961,"Delaware",458000,9343,2711,5885,747
1962,"Delaware",469000,10157,2814,6479,864
1963,"Delaware",476000,10892,3366,6559,967
1964,"Delaware",491000,11801,3313,7211,1277
1965,"Delaware",505000,11603,3272,7062,1269
1966,"Delaware",512000,12758,3903,7469,1386
1967,"Delaware",524000,14204,4360,7861,1983
1968,"Delaware",534000,15616,4726,8647,2243
1969,"Delaware",540000,17321,4737,10043,2541
1970,"Delaware",548104,21571,5789,12718,3064
1971,"Delaware",558000,25924,7759,14902,3263
1972,"Delaware",565000,23378,7059,13544,2775
1973,"Delaware",576000,24380,7024,14552,2804
1974,"Delaware",573000,31552,8697,19825,3030
1975,"Delaware",579000,36339,10574,22737,3028
1976,"Delaware",582000,34587,8978,22790,2819
1977,"Delaware",582000,33919,9793,21408,2718
1978,"Delaware",583000,34474,9466,22111,2897
1979,"Delaware",582000,34853,8890,23081,2882
1980,"Delaware",594779,37482,9698,25077,2707
1981,"Delaware",598000,36958,9627,24759,2572
1982,"Delaware",602000,35067,8698,23891,2478
1983,"Delaware",606000,30378,7414,20908,2056
1984,"Delaware",613000,28021,6678,19747,1596
1985,"Delaware",622000,28164,6826,19638,1700
1986,"Delaware",633000,27881,6598,19562,1721
1987,"Delaware",644000,29032,6572,20453,2007
1988,"Delaware",660000,28693,6868,19824,2001
1989,"Delaware",673000,28998,6072,20294,2632
1990,"Delaware",666168,31344,6465,21922,2957
1991,"Delaware",680000,35055,7668,24836,2551
1992,"Delaware",689000,29126,6598,20419,2109
1993,"Delaware",700000,29304,6244,20853,2207
1994,"Delaware",706000,29971,6198,20828,2945
1995,"Delaware",717000,31790,6491,22329,2970
1996,"Delaware",725000,30643,5830,21665,3148
1997,"Delaware",732000,36578,6421,25904,4253
1998,"Delaware",744000,34230,6395,24649,3186
1999,"Delaware",753538,30922,5245,22634,3043
2000,"Delaware",783600,29727,5216,21360,3151
2001,"Delaware",796599,27399,5144,19476,2779
2002,"Delaware",805945,26967,5355,18555,3057
2003,"Delaware",818166,27943,6066,18933,2944
2004,"Delaware",830069,27256,5669,19285,2302
2005,"Delaware",841741,26245,5811,18085,2349
2006,"Delaware",853476,29670,6337,20449,2884
2007,"Delaware",864764,29216,6420,20454,2342
2008,"Delaware",873092,31385,6783,22045,2557
2009,"Delaware",885122,29685,6943,20836,1906
2010,"Delaware",899792,31078,7550,21593,1935
2011,"Delaware",908137,31163,7617,22001,1545
2012,"Delaware",917092,30639,7371,21832,1436
1960,"District of Columbia",763956,16495,4587,9905,2003
1961,"District of Columbia",763956,17093,4902,9732,2459
1962,"District of Columbia",784000,17458,5022,9855,2581
1963,"District of Columbia",798000,20844,6984,10395,3465
1964,"District of Columbia",808000,25222,8910,10920,5392
1965,"District of Columbia",803000,28081,9886,12576,5619
1966,"District of Columbia",808000,32782,10498,15719,6565
1967,"District of Columbia",809000,44634,14702,21425,8507
1968,"District of Columbia",809000,51473,17950,22169,11354
1969,"District of Columbia",798000,66002,22902,31910,11190
1970,"District of Columbia",756510,65488,21740,32638,11110
1971,"District of Columbia",741000,54432,18818,26882,8732
1972,"District of Columbia",748000,46225,12801,27603,5821
1973,"District of Columbia",746000,47295,11801,30781,4713
1974,"District of Columbia",723000,43054,14126,25004,3924
1975,"District of Columbia",716000,42453,13164,25892,3397
1976,"District of Columbia",702000,39327,11869,24506,2952
1977,"District of Columbia",690000,39978,11590,25646,2742
1978,"District of Columbia",674000,41435,12497,25744,3194
1979,"District of Columbia",656000,45877,13452,28819,3606
1980,"District of Columbia",635233,50896,16260,31068,3568
1981,"District of Columbia",636000,53442,16832,32845,3765
1982,"District of Columbia",631000,52295,14774,33435,4086
1983,"District of Columbia",623000,45843,12483,29405,3955
1984,"District of Columbia",623000,42799,10954,27471,4374
1985,"District of Columbia",626000,39904,10005,24874,5025
1986,"District of Columbia",626000,42781,10815,25861,6105
1987,"District of Columbia",622000,42553,11244,25012,6297
1988,"District of Columbia",620000,49557,12300,28624,8633
1989,"District of Columbia",604000,49235,11780,29164,8291
1990,"District of Columbia",606900,50470,12035,30326,8109
1991,"District of Columbia",598000,49722,12405,29182,8135
1992,"District of Columbia",589000,50502,10721,30663,9118
1993,"District of Columbia",578000,51091,11534,31495,8062
1994,"District of Columbia",570000,48009,10037,29711,8261
1995,"District of Columbia",554000,52697,10185,32319,10193
1996,"District of Columbia",543000,51188,9828,31385,9975
1997,"District of Columbia",529000,41341,6963,26809,7569
1998,"District of Columbia",523000,37222,6361,24360,6501
1999,"District of Columbia",519000,33420,5067,21701,6652
2000,"District of Columbia",572059,33000,4745,21655,6600
2001,"District of Columbia",573822,35232,4949,22313,7970
2002,"District of Columbia",569157,36477,5170,21708,9599
2003,"District of Columbia",557620,32696,4671,18119,9906
2004,"District of Columbia",554239,26896,3946,14542,8408
2005,"District of Columbia",582049,26133,3577,14836,7720
2006,"District of Columbia",581530,27064,3835,15908,7321
2007,"District of Columbia",588292,28922,3926,17390,7606
2008,"District of Columbia",591833,30211,3788,19958,6465
2009,"District of Columbia",599657,28495,3696,19267,5532
2010,"District of Columbia",604912,28802,4233,19514,5055
2011,"District of Columbia",619020,29654,3850,21347,4457
2012,"District of Columbia",632323,30736,3519,23556,3661
1960,"Florida",4951560,122858,39966,73603,9289
1961,"Florida",5222000,117144,37627,70655,8862
1962,"Florida",5459000,128028,40575,78266,9187
1963,"Florida",5652000,145313,46604,89034,9675
1964,"Florida",5705000,175041,54959,108307,11775
1965,"Florida",5805000,175351,55556,107733,12062
1966,"Florida",5941000,200716,62839,123424,14453
1967,"Florida",5995000,222612,73188,132298,17126
1968,"Florida",6160000,249194,81743,147745,19706
1969,"Florida",6354000,271930,86308,161291,24331
1970,"Florida",6789443,327182,106036,194216,26930
1971,"Florida",7041000,360864,118175,215037,27652
1972,"Florida",7259000,350054,116516,206962,26576
1973,"Florida",7678000,411212,142597,234073,34542
1974,"Florida",8090000,542815,185042,318708,39065
1975,"Florida",8357000,587723,196358,354374,36991
1976,"Florida",8421000,536283,164609,343069,28605
1977,"Florida",8452000,511494,157195,324601,29698
1978,"Florida",8594000,541760,170061,338299,33400
1979,"Florida",8860000,607281,190884,378099,38298
1980,"Florida",9567112,709730,239825,424223,45682
1981,"Florida",10166000,718470,241536,431222,45712
1982,"Florida",10416000,684166,211932,427462,44772
1983,"Florida",10680000,635934,191902,400796,43236
1984,"Florida",10976000,653429,198446,408153,46830
1985,"Florida",11366000,753918,228402,465792,59724
1986,"Florida",11675000,839651,259331,510496,69824
1987,"Florida",12023000,899167,271346,546466,81355
1988,"Florida",12377000,967869,283960,589215,94694
1989,"Florida",12671000,975042,289254,583702,102086
1990,"Florida",12937926,978944,280832,591210,106902
1991,"Florida",13277000,977570,266313,607222,104035
1992,"Florida",13488000,964533,254755,598093,111685
1993,"Florida",13679000,977363,251063,603784,122516
1994,"Florida",13953000,991105,237341,626578,127186
1995,"Florida",14166000,939288,215657,612311,111320
1996,"Florida",14400000,928273,219056,605448,103769
1997,"Florida",14654000,915613,213926,594492,107195
1998,"Florida",14916000,887107,203105,579752,104250
1999,"Florida",15111244,808674,181378,534105,93191
2000,"Florida",15982378,780377,172898,518298,89181
2001,"Florida",16373330,782517,176052,516548,89917
2002,"Florida",16691701,777236,177242,511478,88516
2003,"Florida",16999181,757696,170644,505489,81563
2004,"Florida",17385430,727141,166332,482484,78325
2005,"Florida",17768191,712998,164783,472912,75303
2006,"Florida",18089888,721101,170873,473774,76454
2007,"Florida",18251243,746249,181836,490783,73630
2008,"Florida",18328340,758889,188472,506902,63515
2009,"Florida",18537969,712010,181884,479867,50259
2010,"Florida",18838613,669035,169119,458454,41462
2011,"Florida",19082262,671200,170171,461408,39621
2012,"Florida",19317568,632988,153563,442095,37330
1960,"Georgia",3943116,49253,15461,27979,5813
1961,"Georgia",3987000,53445,17439,29746,6260
1962,"Georgia",4100000,57160,18872,30436,7852
1963,"Georgia",4140000,62841,19400,34843,8598
1964,"Georgia",4294000,70609,22706,37954,9949
1965,"Georgia",4357000,68094,21236,38428,8430
1966,"Georgia",4459000,74754,24580,42070,8104
1967,"Georgia",4509000,79581,26667,43900,9014
1968,"Georgia",4588000,89021,30317,47858,10846
1969,"Georgia",4641000,100124,32555,54897,12672
1970,"Georgia",4589575,118277,41301,62812,14164
1971,"Georgia",4664000,126254,49003,63173,14078
1972,"Georgia",4720000,126222,51056,60689,14477
1973,"Georgia",4786000,144437,60726,66558,17153
1974,"Georgia",4882000,169417,71394,81078,16945
1975,"Georgia",4926000,205266,77867,110762,16637
1976,"Georgia",4970000,218002,71984,130130,15888
1977,"Georgia",5048000,192795,68205,109554,15036
1978,"Georgia",5084000,218028,75022,124880,18126
1979,"Georgia",5118000,248641,81579,145758,21304
1980,"Georgia",5400851,272652,91773,160764,20115
1981,"Georgia",5569000,282926,93121,171170,18635
1982,"Georgia",5639000,267097,84469,165049,17579
1983,"Georgia",5732000,232062,72614,143398,16050
1984,"Georgia",5837000,234621,70310,147251,17060
1985,"Georgia",5976000,275070,81070,171950,22050
1986,"Georgia",6104000,297130,88695,182171,26264
1987,"Georgia",6222000,324511,96572,197302,30637
1988,"Georgia",6401000,362376,103106,223768,35502
1989,"Georgia",6436000,407868,110215,255578,42075
1990,"Georgia",6478216,389165,104905,240623,43637
1991,"Georgia",6623000,381165,100317,240359,40489
1992,"Georgia",6751000,382934,97402,246619,38913
